,Historical Revenue,Estimated_Revenue,Projected_Revenue
2021-01-01,2617639.0,2637050.965767378,
2021-02-01,2100614.0,2348983.095058303,
2021-03-01,2093397.0,2174660.7922160258,
2021-04-01,1745256.0,1936124.3419320479,
2021-05-01,1663300.0,1775132.1944023308,
2021-06-01,1655221.0,1784062.2525543787,
2021-07-01,1714283.0,1678043.6897725516,
2021-08-01,1855538.0,1783547.4474666023,
2021-09-01,2466316.0,2277888.327644162,
2021-10-01,3005255.0,3004152.5195428715,
2021-11-01,3013365.0,2917408.716857688,
2021-12-01,2893174.0,2845691.2323026457,
2022-01-01,2926083.0,2947888.74117021,
2022-02-01,2676310.0,2591970.3861800567,
2022-03-01,2635943.0,2516358.729772447,
2022-04-01,2476096.0,2302612.333853486,
2022-05-01,2270016.0,2262216.5291265473,
2022-06-01,2402926.0,2347038.378132898,
2022-07-01,2468146.0,2318358.5562214823,
2022-08-01,2619637.0,2535227.6374704763,
2022-09-01,3198851.0,3272306.2111997716,
2022-10-01,4381190.0,4178802.1394581553,
2022-11-01,4188451.0,4168606.651963793,
2022-12-01,4124365.0,4053761.776664053,
2023-01-01,4399025.0,4227647.358726629,
2023-02-01,3844503.0,3818204.5593919028,
2023-03-01,3649294.0,3701434.3269724096,
2023-04-01,3220913.0,3331474.860308665,
2023-05-01,3305764.0,3144051.557547899,
2023-06-01,3452227.0,3327061.3011831604,
2023-07-01,3518642.0,3314730.906000112,
2023-08-01,4007704.0,3625949.7675339077,
2023-09-01,4355934.0,4814088.223001573,
2023-10-01,5595042.0,6008523.092442619,
2023-11-01,5979934.0,5724175.216074291,
2023-12-01,5720131.0,5642140.4616951095,
2024-01-01,,,5873833.0723044565
2024-02-01,,,5210875.173850917
2024-03-01,,,5022728.157395224
2024-04-01,,,4531997.356800303
2024-05-01,,,4335639.073597609
2024-06-01,,,4491623.959681409
2024-07-01,,,4401469.784359923
2024-08-01,,,4689003.0156457275
2024-09-01,,,5910765.106696923
2024-10-01,,,7602406.445130967
2024-11-01,,,7429876.060439499
2024-12-01,,,7168997.627839323
