Time,Historical Revenue,month,quarter,year,prediction
2021-01-01,2617639.0,1,1,2021,
2021-02-01,2100614.0,2,1,2021,
2021-03-01,2093397.0,3,1,2021,
2021-04-01,1745256.0,4,2,2021,
2021-05-01,1663300.0,5,2,2021,
2021-06-01,1655221.0,6,2,2021,
2021-07-01,1714283.0,7,3,2021,
2021-08-01,1855538.0,8,3,2021,
2021-09-01,2466316.0,9,3,2021,
2021-10-01,3005255.0,10,4,2021,
2021-11-01,3013365.0,11,4,2021,
2021-12-01,2893174.0,12,4,2021,
2022-01-01,2926083.0,1,1,2022,
2022-02-01,2676310.0,2,1,2022,
2022-03-01,2635943.0,3,1,2022,
2022-04-01,2476096.0,4,2,2022,
2022-05-01,2270016.0,5,2,2022,
2022-06-01,2402926.0,6,2,2022,
2022-07-01,2468146.0,7,3,2022,
2022-08-01,2619637.0,8,3,2022,
2022-09-01,3198851.0,9,3,2022,
2022-10-01,4381190.0,10,4,2022,
2022-11-01,4188451.0,11,4,2022,
2022-12-01,4124365.0,12,4,2022,
2023-01-01,4399025.0,1,1,2023,
2023-02-01,3844503.0,2,1,2023,
2023-03-01,3649294.0,3,1,2023,
2023-04-01,3220913.0,4,2,2023,
2023-05-01,3305764.0,5,2,2023,
2023-06-01,3452227.0,6,2,2023,3377003.8
2023-07-01,3518642.0,7,3,2023,3385490.2
2023-08-01,4007704.0,8,3,2023,3513835.2
2023-09-01,4355934.0,9,3,2023,3813924.2
2023-10-01,5595042.0,10,4,2023,4319377.0
2023-11-01,5979934.0,11,4,2023,4235992.0
2023-12-01,5720131.0,12,4,2023,4159647.5
2024-01-01,,1,1,2024,4365675.0
2024-02-01,,2,1,2024,3832195.8
2024-03-01,,3,1,2024,3642927.5
2024-04-01,,4,2,2024,3311707.5
2024-05-01,,5,2,2024,3283432.0
2024-06-01,,6,2,2024,3377003.8
2024-07-01,,7,3,2024,3385490.2
2024-08-01,,8,3,2024,3513835.2
2024-09-01,,9,3,2024,3813924.2
2024-10-01,,10,4,2024,4319377.0
2024-11-01,,11,4,2024,4235992.0
2024-12-01,,12,4,2024,4159647.5
