,day,month,quarter,year,Predicted_Quantity,Predicted_Product_ID,Projected_outlier_flag
0,1,1,1,2004,14,AM-1-025RP,0
1,2,1,1,2004,11,ARVB-12X12X4-PC,0
2,3,1,1,2004,11,A63916,0
3,4,1,1,2004,14,AM101C-1LF,0
4,5,1,1,2004,13,ARD20TZ,0
5,6,1,1,2004,12,ACQ73019508,0
6,7,1,1,2004,14,ARVB-12X12X4-PC,0
7,8,1,1,2004,17,AP12938,0
8,9,1,1,2004,11,AFB24-MFT-S,0
9,10,1,1,2004,12,AP11309T-1,0
10,11,1,1,2004,15,AT175F1031,0
11,12,1,1,2004,17,B13400704ABS,0
12,13,1,1,2004,17,B0189001,0
13,14,1,1,2004,15,B1370209,0
14,15,1,1,2004,14,AP10874HH-2,0
15,16,1,1,2004,15,APIF150,0
16,17,1,1,2004,13,AM38409-1AE,0
17,18,1,1,2004,14,AYAGALA01A,0
18,19,1,1,2004,15,AM-321,0
19,20,1,1,2004,15,ASVB-12X12X6-SS,0
20,21,1,1,2004,18,AM101R-US-1,0
21,22,1,1,2004,17,AMS24A300,0
22,23,1,1,2004,12,B305,0
23,24,1,1,2004,14,B07005,0
24,25,1,1,2004,13,B-260,0
25,26,1,1,2004,17,B76,0
26,27,1,1,2004,18,AX54,0
27,28,1,1,2004,17,B2YA-8916,0
28,29,1,1,2004,15,AP16732-3,0
29,30,1,1,2004,17,ATT19,0
30,31,1,1,2004,13,B5269,0
31,1,2,1,2004,17,B8-12A-F,0
32,2,2,1,2004,18,BLHN-1080,0
33,3,2,1,2004,17,B173,0
34,4,2,1,2004,17,B1037485S,0
35,5,2,1,2004,18,A6151000,0
36,6,2,1,2004,13,BLHN-20100,0
37,7,2,1,2004,13,BLN150-3000,0
38,8,2,1,2004,19,BLN-0360,0
39,9,2,1,2004,19,BGQ15HAA-1C,0
40,10,2,1,2004,15,AX41,0
41,11,2,1,2004,19,AWN400PM,0
42,12,2,1,2004,15,B-VFH12MA-1,0
43,13,2,1,2004,15,AP12941,0
44,14,2,1,2004,12,AE-101588-03,0
45,15,2,1,2004,17,B2589342,0
46,16,2,1,2004,14,AP14199D,0
47,17,2,1,2004,15,AP13242,0
48,18,2,1,2004,18,97016449,0
49,19,2,1,2004,13,96303,0
50,20,2,1,2004,19,9002226005,0
51,21,2,1,2004,18,A1252000,0
52,22,2,1,2004,17,96404951,0
53,23,2,1,2004,20,927-8W,0
54,24,2,1,2004,17,99246,0
55,25,2,1,2004,18,96411613,0
56,26,2,1,2004,17,9300-2052RP,0
57,27,2,1,2004,15,918-0052-00,0
58,28,2,1,2004,12,94022,0
59,29,2,1,2004,12,94022,0
60,1,3,1,2004,19,9422P,0
61,2,3,1,2004,21,937-763020101,0
62,3,3,1,2004,18,96414028,0
63,4,3,1,2004,19,94020,0
64,5,3,1,2004,15,A2VA-7116,0
65,6,3,1,2004,15,A22-392,0
66,7,3,1,2004,17,9431A,0
67,8,3,1,2004,19,93031,0
68,9,3,1,2004,18,96402730,0
69,10,3,1,2004,21,A22-2237,0
70,11,3,1,2004,17,95547,0
71,12,3,1,2004,15,913852,0
72,13,3,1,2004,18,A-4000-1037,0
73,14,3,1,2004,28,98420223,0
74,15,3,1,2004,18,A19AAF-21C,0
75,16,3,1,2004,19,9433A,0
76,17,3,1,2004,19,A-DVC12SD-0,0
77,18,3,1,2004,18,99311,0
78,19,3,1,2004,14,9008269015,0
79,20,3,1,2004,16,950267,0
80,21,3,1,2004,18,98996441,0
81,22,3,1,2004,17,9F30213,0
82,23,3,1,2004,17,A65751,0
83,24,3,1,2004,22,A-050P,0
84,25,3,1,2004,18,96404963,0
85,26,3,1,2004,15,A99BB-300C,0
86,27,3,1,2004,18,93447,0
87,28,3,1,2004,17,96L74,0
88,29,3,1,2004,21,94001,0
89,30,3,1,2004,19,99M69,0
90,31,3,1,2004,18,A165,0
91,1,4,2,2004,17,93353,0
92,2,4,2,2004,17,A142,0
93,3,4,2,2004,19,98G89,0
94,4,4,2,2004,18,9F30220,0
95,5,4,2,2004,17,998-0002-02,0
96,6,4,2,2004,17,A2771050,0
97,7,4,2,2004,21,9F30213,0
98,8,4,2,2004,20,96512,0
99,9,4,2,2004,17,A11B-1C,0
100,10,4,2,2004,18,A2803250,0
101,11,4,2,2004,16,A03717,0
102,12,4,2,2004,19,97525909,0
